Tox	DicerKO.rep1	DicerKO.rep2	DroshaKO.rep1	DroshaKO.rep2	Wildtype.rep1	Wildtype.rep2
10	21.714	10.536	42.139	30.769	87.34	98.259
10.1	32.054	35.122	40.033	39.959	4.279	4.359
10.2	163.382	104.187	117.085	121.878	6.833	6.284
10.3	8.272	7.024	49.361	41.16	1.249	1.472
10.4	41.361	39.801	31.605	75.526	1286.7	1109.434
10.5	9.306	1.171	29.798	59.541	1.247	1.586
10.7	0	0	6.321	6.394	0.119	0
10.9	15.51	11.706	129.426	110.691	2.256	2.151
100	2781.635	2954.699	2743.193	2670.177	166.48	177.676
100.1	33.089	36.289	12.341	13.188	1.128	0.793
100.3	2.068	4.683	3.311	7.193	8.139	8.942
100.4	19.647	23.414	181.494	77.523	0.831	0.849
100.6	7.238	2.341	0.602	1.199	0	0.057
100.7	28.954	30.437	0	0	0	0
100.9	29.987	38.631	9.03	9.989	652.798	728.224
101.1	3.102	3.512	1.505	0.799	0	0
101.2	0	0	16.554	22.377	3.862	4.585
101.3	1595.563	1425.841	1014.021	997.018	28.28	29.208
101.6	179.925	93.652	58.995	35.165	1629.468	1705.491
101.9	12.408	12.877	0	0	6.951	10.697
102.1	5.170	8.194	6.020	2.797	1.367	0.566
102.8	33.09	35.118	52.974	26.374	7.96	7.302
103.1	3.102	25.754	0	0	0	0
103.2	1.034	0	0	0	5.526	6.849
103.9	17.578	16.389	0.602	1.199	13.547	14.545
104	8.273	7.024	13.243	8.392	0.475	0.226
104.6	1.034	2.341	0.903	1.998	2.436	3.849
105.4	2.068	4.683	1.505	6.394	0	0
108.7	2.068	3.512	0	0.400	0.178	0
108.8	34.123	46.826	61.403	69.533	31.014	30.903
109.3	16.545	15.218	1.505	5.195	0	0.170
11	5.17	8.194	12.04	25.176	1.545	1.303
11.1	319.526	320.757	2159.577	2261.375	591.299	631.84
11.3	3.102	5.853	44.246	41.159	1.01	1.642
11.4	18.612	15.219	0.602	1.199	45.275	46.3
11.6	23.783	16.389	49.362	50.751	39.629	37.526
