Avg of 3 Human Tox	DicerKO.rep1	DicerKO.rep2	DroshaKO.rep1	DroshaKO.rep2	Wildtype.rep1	Wildtype.rep2
3	21.715	14.047	10.234	12.387	1.129	0.792
4	19.647	28.096	121.6	107.893	7.128	6.849
5	286.433	242.324	1174.753	1365.454	48.718	44.092
6	92.028	47.995	309.42	364.842	26.142	22.53
7	183.027	172.087	1373.41	1348.67	143.54	123.956
8	115.812	110.041	82.472	95.506	106.59	86.599
9	279.194	278.615	1752.647	1761.063	134.456	124.238
10	437.4	316.075	1067.007	1148.867	1460.431	1285.016
11	361.92	361.729	2352.212	2445.994	641.504	683.236
12	681.441	675.461	2924.391	2314.919	189.996	186.218
13	262.644	290.325	1055.266	1011.398	36.474	33.457
14	48.599	55.021	37.926	53.548	77.12	70.639
15	306.077	306.716	735.922	667.34	41.941	43.185
16	341.239	292.664	517.703	461.947	2848.784	2468.758
17	581.135	642.683	505.367	615.794	111.039	106.015
18	624.565	586.49	1708.414	1757.866	1845.252	1700.795
19	196.47	199.009	522.818	489.12	49.787	47.886
20	30185.399	31395.468	25789.981	27073.354	540.836	564.098
21	449.809	382.801	3690.097	3554.495	1399.045	1296.723
22	215.078	220.082	220.626	226.577	13547.126	13300.147
23	355.712	146.334	45655.924	45023.691	1095.427	927.639
24	960.632	785.511	1044.74	1208.815	1092.516	958.027
25	331.928	326.608	547.201	639.767	3076.815	3005.838
26	14988.772	13609.897	180244.966	157383.924	37036.264	35898.557
27	457.054	433.143	682.943	619.391	418.813	375.038
28	12940.289	11912.452	7565.589	6969.936	539.18	494.812
29	169.581	172.086	238.385	248.153	2013.588	1732.551
30	7986.08	7273.202	5164.93	5142.537	651.959	621.707
31	14001.228	13684.814	12779.877	12658.728	431.214	396.155
32	803.464	801.892	1910.668	1817.81	145.024	117.108
33	137.528	158.034	242.902	263.74	33.031	34.359
34	2315.259	2541.466	1598.853	1801.433	177.465	163.522
35	125.118	118.238	235.074	227.376	861.938	920.723
36	2085.692	2186.767	3313.876	3151.304	291.352	257.895
37	4045.25	4131.204	2883.163	2879.57	662.113	588.374
38	10216.551	9518.502	7125.865	6921.184	303.775	289.639
39	680.409	668.44	1049.546	1127.288	54.473	47.78
40	18398.079	18417.716	9392.593	9787.969	995.185	1023.869
41	15191.444	14622.492	23721.01	23005.76	2267.691	2137.199
42	2575.84	2820.082	2047.924	1998.026	1213.188	1286.596
43	437.394	471.776	1222.316	1213.602	1619.232	1450.736
44	5153.768	4974.064	4507.288	4942.337	935.427	885.065
45	4178.643	3935.7	3006.561	3034.209	931.21	857.222
46	3671.956	3329.308	2570.44	2437.998	43940.823	40683.571
47	1005.098	924.81	1355.659	1359.062	1550.259	1486.962
48	696.951	1096.899	594.756	708.098	4299.768	3995.45
49	80496.834	74815.748	48289.59	46891.852	1175.476	1130.584
50	1061.963	892.049	1291.253	2060.769	463.361	445.684
