Avg of 3 Human Tox	DicerKO.rep1	DicerKO.rep2	DroshaKO.rep1	DroshaKO.rep2	Wildtype.rep1	Wildtype.rep2
1	0	0	0	0	0	0
2	0	0	0	0	0	0
3	0	0	1.048	0.472	0.55	0.755
4	10.863	15.322	2.445	1.416	0.122	0.406
5	15.692	19.502	23.047	25.02	4.523	4.527
6	1.207	0	0.349	0	20.848	19.389
7	20.52	18.109	92.196	99.134	112.609	106.51
8	31.383	5.572	37.714	34.46	134.136	108.55
9	9.656	2.786	1317.661	1377.104	106.016	101.526
10	39.831	33.432	32.127	28.321	1467.924	1287.427
11	354.871	369.132	39.811	42.014	642.621	691.898
12	360.909	437.388	36.667	30.212	110.473	113.719
13	6.035	4.179	15.713	16.994	3.483	3.306
14	4.828	1.393	27.588	25.019	68.171	61.758
15	9.656	6.965	50.289	43.43	55.697	56.182
16	261.93	182.477	42.256	22.187	3007.937	2601.853
17	294.52	259.09	37.017	35.876	122.953	112.725
18	254.686	235.411	32.126	25.019	1845.277	1700.735
19	0	0	35.619	25.963	38.028	37.668
20	0	0	39.113	51.93	21.458	21.359
21	54.315	45.969	3646.015	2810.859	1471.286	1367.826
22	153.292	140.69	41.209	38.709	13968.3	13659.081
23	35.003	19.502	44.003	34.461	174.426	177.737
24	182.263	112.829	195.219	228.493	1194.274	1047.788
25	142.431	115.616	275.541	279.946	3188.608	3106.079
26	15327.128	15453.372	169.028	132.655	37596.549	36431.388
27	385.049	318.987	7.333	7.553	396.91	358.106
28	83.286	72.433	154.012	177.977	178.954	161.316
29	36.21	13.93	31.777	23.132	2145.951	1836.76
30	43.453	27.86	37.366	30.684	125.455	130.139
31	6.035	8.358	426.764	407.886	72.326	66.923
32	1.207	6.965	99.53	102.912	20.719	20.31
33	20.52	6.965	10.128	16.051	35.825	37.73
34	78.456	75.221	74.384	84.971	146.057	128.344
35	65.18	62.683	25.141	31.157	912.245	978.251
36	904.078	965.316	1162.248	1002.731	266.069	229.813
37	16.898	20.895	118.037	105.272	383.827	339.932
38	140.017	143.474	216.872	171.366	147.156	134.609
39	20.519	20.894	21.999	22.658	28.428	25.71
40	85.698	76.613	75.778	71.28	705.593	730.775
41	153.292	149.049	13722.832	13644.506	1797.153	1661.781
42	76.041	41.789	35.967	23.601	1230.961	1309.602
43	78.455	65.47	39.111	41.069	1739.874	1560.843
44	39.831	47.362	41.205	36.821	761.353	719.404
45	53.109	76.613	86.956	71.754	700.458	627.688
46	3827.555	3653.711	334.561	236.04	45034.056	41545.612
47	77.25	57.112	57.622	56.65	1653.174	1580.467
48	420.051	299.487	40.159	43.901	4494.325	4156.496
49	7131.253	6931.314	7394.699	7122.51	346.039	345.739
50	31.382	32.039	72.29	87.335	486.227	474.782
51	177.436	154.619	67.401	79.308	693.362	666.467
52	2293.394	2457.167	240.963	250.202	4730.078	4384.797
53	258.306	238.195	281.832	273.811	574.328	553.9
54	89.321	100.294	254.94	276.174	257.452	254.13
55	764.061	442.961	57654.489	62501.287	10313.201	10011.98
56	103.804	107.26	109.655	106.217	187.145	179.19
57	836.481	587.829	218.958	161.923	21277.785	21403.711
58	1495.535	491.711	1132.915	579.73	439.152	397.747
59	105.01	40.397	162.041	150.119	1073.885	1109.262
60	189.503	252.127	274.148	264.839	3793.378	4052.289
61	464.708	505.646	1630.917	1539.03	3970.433	4029.921
62	166.572	114.225	118.038	82.136	1382.095	1350.565
63	1773.15	2535.17	943.974	1533.836	57049.611	63524.387
64	102.598	75.221	87.655	110.468	556.47	536.544
65	737.503	707.622	108.606	84.03	1350.113	1445.255
66	3990.503	3628.64	5972.604	5562.696	30545.222	30966.368
67	1052.533	871.997	308.717	233.678	36743.802	35912.28
68	10829.643	6805.963	947.454	534.401	122975.614	115483.102
69	86.905	93.33	36.668	36.349	1801.506	1828.565
70	61.557	50.148	2119.85	2320.815	828.662	798.846
71	438.154	481.964	20.602	23.128	1186.39	1291.892
72	5082.868	4801.514	1481.082	1224.128	74516.169	77954.279
73	933.042	898.458	269.249	235.096	16081.478	16352.23
74	1057.367	819.063	3207.019	3016.686	2395.032	2287.305
75	12132.062	12893.137	636.296	438.569	6685.525	6396.511
76	112.253	119.796	311.512	323.377	1389.433	1356.133
77	738.708	640.762	857.365	770.926	7712.535	7506.379
78	6280.28	6562.183	77.172	81.666	30037.669	28595.591
79	208.818	146.261	246.206	213.854	1490.734	1278.064
80	1758.655	1111.583	825.576	655.729	32846.725	29288.215
81	3494.406	2692.574	646.073	322.906	25402.662	25356.864
82	1025.991	1323.305	143.881	176.557	2830.089	3194.474
83	5898.848	6863.073	121.175	99.604	17463.201	18876.475
84	120258.528	133238.259	872.375	562.729	198881.371	209791.805
85	455.055	337.097	89.399	64.673	5034.054	4706.75
86	1525.704	1581.004	373.324	375.781	6325.476	6487.942
87	346.417	278.598	80.669	56.648	1543.312	1734.803
88	764.056	1055.858	207.443	242.652	4543.597	5175.372
