DicerKO.avg.miRNA	DroshaKO.avg.miRNA	Wildtype.avg.miRNA
11.1	9.3	10.4
11.8	9.3	11.1
11.8	9.3	16.2
16.2	9.3	16.2
17.3	9.3	16.2
18.1	9.3	18.1
21.6	9.3	18.1
25.4	9.3	20.9
26.2	9.3	21.6
26.2	9.3	21.6
26.2	9.3	21.6
26.2	20.6	21.6
26.2	20.6	21.6
26.2	20.6	21.6
26.2	20.6	21.6
26.2	20.6	21.6
26.2	20.6	21.6
26.2	20.6	21.6
26.2	20.6	21.6
26.2	20.6	21.6
26.2	20.6	21.6
26.2	20.6	21.6
26.2	20.6	23.6
26.2	20.6	25.4
26.2	20.6	25.4
26.2	20.6	25.4
26.2	20.6	26.2
26.2	20.6	26.2
26.2	20.6	26.2
26.2	20.6	26.2
26.2	20.6	26.2
26.2	20.6	26.2
26.2	20.6	26.2
26.2	20.6	26.2
26.2	20.6	26.2
26.2	20.6	26.2
26.2	20.9	26.2
26.2	23.8	26.2
26.2	24.3	26.2
26.2	25.4	26.2
26.2	25.4	26.2
26.2	26.2	26.2
26.2	28.5	26.2
26.2	30.9	26.2
26.2	30.9	26.2
26.2	30.9	26.2
26.2	35.8	26.2
26.2	35.8	26.2
26.2	35.8	26.2
26.2	36.2	26.2
26.2	36.2	26.2
26.2	36.2	26.2
26.2	36.2	26.2
26.2	36.2	26.2
26.2	36.9	26.2
26.2	37.9	26.2
26.2	41.3	26.2
26.2	41.3	26.2
26.2	41.3	26.2
26.2	41.3	26.2
26.2	41.3	26.2
26.2	41.3	26.2
26.2	41.3	26.2
26.2	41.3	26.2
26.2	41.3	29.1
26.2	41.3	29.1
26.2	41.3	34.6
26.2	41.3	41.3
26.2	41.3	41.6
26.2	41.3	42.9
26.2	41.3	43
26.2	41.3	45
26.2	41.3	45.5
26.2	41.3	46.3
27.2	41.3	46.3
35.8	41.3	46.3
35.8	41.3	46.3
36.2	41.3	46.3
37.9	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
46.3	41.3	46.3
48.3	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	46.3
49.2	41.3	47.3
49.2	41.3	48.3
49.2	41.3	48.3
49.2	41.3	48.3
49.2	41.3	48.5
49.2	41.3	48.5
49.2	41.3	51.5
49.2	41.3	51.5
49.2	41.3	52.4
52.4	41.3	52.4
52.4	41.3	55.1
52.4	41.3	55.1
52.4	41.3	55.1
52.4	41.3	55.1
52.4	41.3	55.1
52.4	41.3	55.1
52.4	41.3	55.1
52.4	41.3	55.1
55.1	41.3	55.1
55.1	41.3	55.1
55.3	41.3	56.6
56.6	41.3	56.6
56.6	41.3	56.6
57.6	41.3	56.6
57.6	41.3	56.6
57.6	41.3	56.6
57.6	41.3	56.6
61.2	41.3	56.6
61.2	41.3	56.6
62.9	41.3	56.6
63	41.3	56.6
63	41.3	56.6
63	41.3	56.6
63	41.3	56.6
63	41.3	56.6
63	41.3	56.6
63.1	41.3	56.6
63.1	41.3	56.6
65	41.3	56.6
65.2	41.3	56.6
65.2	41.3	56.7
65.5	41.3	56.7
65.5	41.3	57
