Avg of 3 Human Tox	DicerKO.rep1	DicerKO.rep2	DroshaKO.rep1	DroshaKO.rep2	Wildtype.rep1	Wildtype.rep2
1	0	0	0	0	0	0
2	0	0	0	0	0	0
3	32.59	19.502	28.288	23.13	2.322	1.973
4	32.589	45.968	186.841	172.308	11.062	10.155
5	362.113	305.06	1521.61	1816.14	64.185	58.965
6	137.599	82.186	456.796	577.36	33.923	31.051
7	247.441	232.628	1884.105	1866.63	219.709	197.809
8	177.433	153.226	177.756	204.406	148.256	122.766
9	370.559	360.778	2280.838	2360.928	164.151	153.35
10	599.895	483.364	1596.682	1698.561	1575.5	1384.754
11	467.123	473.607	3005.149	3175.298	695.668	737.162
12	890.789	877.569	3801.408	3088.404	231.995	226.193
13	362.107	383.068	1530.332	1526.724	79.757	73.063
14	103.802	111.44	132.001	142.56	133.403	126.476
15	416.424	410.928	1101.827	1014.028	96.402	96.511
16	426.086	385.853	761.668	720.396	3047.786	2635.681
17	758.018	830.207	839.547	963.046	165.369	153.515
18	778.531	724.349	2347.182	2426.99	2008.122	1851.167
19	271.583	274.414	781.228	740.226	76.35	70.048
20	35372.611	37530.225	30402.969	32460.816	610.429	628.007
21	595.063	525.151	4549.125	4469.785	1525.984	1413.319
22	269.166	277.201	354.117	359.249	14145.043	13856.428
23	482.811	238.2	53369.736	53630.122	1194.918	1023.214
24	1264.968	1046.12	1652.207	1937.918	1304.473	1156.421
25	450.219	441.575	900.661	1002.699	3272.717	3188.487
26	17672.416	16381.087	209850.078	186625.807	38496.585	37242.128
27	576.965	564.151	902.767	837.015	465.862	423.108
28	15214.867	14261.011	8996.971	8453.793	609.167	558.244
29	267.956	256.308	421.166	436.202	2179.51	1868.613
30	9476.538	8804.843	6394.817	6436.973	747.136	713.736
31	16535.367	16463.279	15233.248	15375.642	507.291	468.596
32	1033.222	1032.186	2549.402	2428.896	196.901	163.907
33	205.194	239.593	390.087	426.755	60.148	60.242
34	2806.375	3141.121	2204.701	2430.766	264.767	242.963
35	184.675	162.978	403.354	403.623	951.486	1016.84
36	2647.029	2794.285	4154.805	4030.233	347.047	310.304
37	4888.535	5081.497	3775.544	3789.461	669.682	599.507
38	12188.773	11526.678	8703.255	8546.754	387.767	370.37
39	898.036	883.141	1598.769	1716.492	100.972	91.75
40	21816.207	22250.983	11317.974	11994.006	1180.895	1205.692
41	17883.648	17592.963	28121.767	27772.874	2429.347	2278.524
42	3146.763	3492.148	2710.031	2677.672	1399.914	1470.833
43	645.755	670.025	1878.513	1882.199	1840.59	1658.272
44	6219.908	6116.462	5657.561	6241.999	1160.791	1108.823
45	4992.35	4804.293	3761.243	3856.981	1019.514	939.049
46	4421.414	4098.07	3576.481	3423.572	45637.144	42159.157
47	1314.46	1204.915	1934.027	1934.599	1752.062	1663.682
48	894.413	1381.819	990.413	1137.236	4613.036	4291.372
49	94397.386	89452.404	56631.556	55965.509	1279.008	1230.079
50	1414.636	1218.856	2039.85	3005.299	643.131	623.754
51	651.8	604.547	1555.476	1699.974	781.927	740.109
52	12349.312	12083.858	6581.649	6743.345	5049.184	4692.174
53	11801.325	11002.914	8478.359	8697.847	833.284	805.108
54	959.59	920.759	6309.946	6558.299	719.62	684.651
55	1882.982	1675.734	61567.64	66740.662	10577.904	10259.93
56	2999.499	2568.617	3503.49	3532.625	378.107	348.195
57	1716.403	1289.893	3907.2	3453.795	21576.472	21720.903
58	2981.393	1770.458	4398.232	4943.256	631.585	559.315
59	1459.305	1334.463	2772.19	2773.031	1222.06	1250.289
60	1047.701	1079.553	1726.932	1733.939	4037.162	4277.654
61	9402.889	9626.703	14193.203	14342.206	4601.822	4657.915
62	108976.147	104707.972	55198.612	56046.191	2710.227	2638.562
63	2730.327	3600.786	1749.286	2498.285	57660.416	64252.173
64	1832.266	1755.153	4169.821	4306.367	1319.414	1217.811
65	18164.852	18864.758	16337.164	17185.627	1751.196	1851.667
66	7865.103	7749.013	9903.21	10365.726	31062.478	31502.577
67	2476.835	2643.843	1316.235	1988.414	37176.593	36384.933
68	44919.098	41025.21	33617.255	33937.919	125451.496	117992.577
69	2694.108	3543.689	2360.793	2521.874	1963.856	1991.184
70	6187.304	6337.956	7247.625	7921.197	1138.765	1068.191
71	75514.3	76344.725	25865.704	25171.167	1914.011	2016.956
72	7028.603	6595.662	31560.996	34348.685	75896.251	79511.937
73	6781.159	6906.282	5533.581	5640.511	16627.21	16919.359
74	3302.445	6870.071	4922.402	4764.793	2556.278	2442.318
75	14136.937	15039.704	3698.001	3529.298	6856.774	6568.103
76	9028.692	8760.295	7713.143	8828.097	1662.786	1635.01
77	6166.787	5921.456	11548.472	12117.685	8158.496	7925.787
78	11684.216	12785.913	5307.253	5496.063	30534.748	29092.086
79	2999.501	3074.26	3193.032	2563.415	1711.9	1487.582
80	40952.756	41306.549	25611.077	26296.573	34118.999	30515.005
81	38160.861	36580.277	17978.545	18469.237	26112.227	26081.5
