DicerKO.avg.sRNA	DroshaKO.avg.sRNA	Wildtype.avg.sRNA
11.8	4.7	10.4
19.7	7.3	11.1
19.7	7.4	16.2
19.7	9.3	16.2
19.7	9.3	16.2
19.7	9.6	18.1
19.7	11.1	18.1
19.7	11.1	19.7
19.7	11.1	20.9
19.7	12	21.6
19.7	12	21.6
19.7	12.3	21.6
19.7	12.6	21.6
19.7	17.7	21.6
19.7	18.2	21.6
19.7	19.7	21.6
19.7	19.7	21.6
19.7	19.7	21.6
19.7	19.7	21.6
19.7	19.7	21.6
19.7	19.7	21.6
19.7	19.7	21.6
19.7	19.7	21.6
19.7	19.7	23.1
19.7	19.7	23.6
19.7	19.7	25.4
19.7	19.7	25.4
19.7	19.7	25.4
19.7	19.7	26.2
19.7	19.7	26.2
19.7	19.7	26.2
19.7	19.7	26.2
19.7	19.7	26.2
19.7	19.7	26.2
19.7	19.7	26.2
19.7	19.7	26.2
20.2	19.7	26.2
25.8	19.7	26.2
26.2	19.7	26.2
26.2	19.7	26.2
26.2	19.7	26.2
26.2	19.7	26.2
26.2	19.7	26.2
26.2	19.7	26.2
26.2	20.2	26.2
26.2	20.6	26.2
26.2	20.6	26.2
26.2	20.6	26.2
26.2	20.9	26.2
26.2	21.3	26.2
26.2	23.1	26.2
26.2	23.1	26.2
26.2	23.1	26.2
26.2	23.1	26.2
28.2	23.1	26.2
28.2	23.1	26.2
28.2	23.1	26.2
28.2	23.1	26.2
28.2	23.1	26.2
28.2	23.1	26.2
28.2	23.1	26.2
28.2	23.1	26.2
28.2	23.1	26.2
28.2	23.1	26.2
28.2	23.1	26.2
28.2	23.1	29.1
28.2	23.1	29.1
28.2	23.1	30.3
28.2	23.1	34.6
30.3	23.1	37.2
30.3	23.1	41.3
30.3	23.1	41.3
30.3	23.1	41.6
30.3	23.1	42.9
30.3	23.1	43
30.3	23.1	43.8
30.3	23.1	45
30.3	23.1	45.5
30.6	23.1	46.3
30.6	23.1	46.3
30.6	23.1	46.3
30.6	23.1	46.3
30.6	23.1	46.3
30.6	23.1	46.3
31	23.1	46.3
31	23.1	46.3
31	23.1	46.3
31	23.1	46.3
31	23.1	46.3
31	23.1	46.3
31	23.1	46.3
31	23.3	46.3
31	23.3	46.3
31	23.3	46.3
33.9	23.3	46.3
33.9	23.3	46.3
33.9	23.3	46.3
35.8	23.3	46.3
37.2	23.3	46.3
37.2	23.3	46.3
37.2	23.3	46.3
37.2	23.3	46.3
37.9	23.3	46.3
37.9	25.4	46.3
37.9	25.8	46.3
37.9	25.8	46.3
37.9	25.8	46.3
37.9	25.8	46.3
37.9	25.8	46.3
37.9	25.8	46.3
37.9	25.8	46.3
37.9	25.8	46.3
37.9	25.8	46.3
38.7	25.8	46.3
39.7	25.8	46.3
39.7	25.8	46.3
39.7	25.8	46.3
39.7	25.8	46.3
39.7	25.8	46.3
39.7	25.8	46.3
39.7	25.8	46.3
39.7	25.8	47.3
39.7	25.8	48.3
39.7	25.8	48.3
39.7	25.8	48.5
39.7	25.8	48.5
39.7	25.8	49.2
39.7	25.8	51.5
39.7	25.8	51.5
39.7	25.8	52.4
39.7	25.8	52.4
39.7	25.8	55.1
39.7	25.8	55.1
39.7	25.8	55.1
39.7	25.8	55.1
41.3	25.8	55.1
41.3	25.8	55.1
41.3	25.8	55.1
41.3	25.8	55.1
41.3	25.8	55.1
41.3	25.8	55.1
41.3	25.8	56.6
41.3	25.8	56.6
41.3	25.8	56.6
41.3	25.8	56.6
41.3	25.8	56.6
41.3	25.8	56.6
41.3	25.8	56.6
41.3	25.8	56.6
41.3	25.8	56.6
41.3	25.8	56.6
41.3	25.8	56.6
42.1	25.8	56.6
42.2	25.8	56.6
43.8	25.8	56.6
43.8	25.8	56.6
43.8	25.8	56.6
43.8	25.8	56.6
43.8	25.8	56.6
44.6	25.8	56.6
44.6	25.8	56.7
44.8	25.8	56.7
44.8	25.8	57
44.8	25.8	58.9
46.3	25.8	60.3
46.3	25.8	60.3
46.3	25.8	60.3
46.3	25.8	60.3
47.4	25.8	61.3
48.4	25.8	61.3
48.6	25.8	61.3
48.6	25.8	61.3
48.6	25.8	61.7
48.6	25.8	61.9
48.6	25.8	62.9
48.6	25.8	62.9
48.6	25.8	62.9
49.2	25.8	62.9
49.2	25.8	62.9
49.2	25.8	62.9
49.2	25.8	62.9
49.2	25.8	62.9
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.1
49.2	25.8	63.6
49.2	25.8	65.2
49.2	25.8	65.5
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
49.2	25.8	65.6
50.3	25.8	65.6
52.4	25.8	65.6
52.4	25.8	65.6
52.4	25.8	65.6
52.4	25.8	65.6
52.4	25.8	66.9
52.4	25.8	66.9
52.4	25.8	66.9
52.4	25.8	66.9
52.4	25.8	66.9
52.4	25.8	66.9
52.4	25.8	66.9
52.4	25.8	66.9
53	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
55.2	25.8	66.9
55.3	25.8	66.9
56	25.8	66.9
56	25.8	66.9
56.6	25.8	66.9
57.6	25.8	66.9
58.8	25.8	66.9
61	25.8	66.9
61	25.8	67.2
61	25.8	67.2
61	25.8	67.2
61	25.8	67.2
61.2	25.8	67.2
61.3	25.8	67.2
61.3	25.8	67.2
61.3	25.8	67.3
61.7	27.2	67.3
61.7	28.2	67.6
61.7	28.2	67.6
61.7	28.2	67.6
61.7	28.2	67.6
61.7	28.2	67.7
61.7	28.2	67.7
61.7	28.2	67.7
61.7	28.2	67.7
61.7	30.3	67.7
61.7	30.3	67.7
61.7	30.3	67.7
61.7	30.3	67.7
61.7	30.3	67.7
61.7	30.3	67.7
61.7	30.6	67.7
61.7	30.6	67.7
61.7	30.6	67.7
61.7	30.6	67.9
61.7	30.6	68
61.7	30.6	68
61.7	30.6	68
61.7	31	68
61.7	31	68
61.7	31	68
61.7	31	68
61.7	31	68
61.7	31	68
61.7	31	68
61.7	31	68
61.7	31.8	68
61.7	31.8	68
61.7	33.9	68
61.7	35.7	68
61.7	35.8	68
61.7	36.1	68.1
61.7	36.2	68.3
61.7	36.8	68.3
61.7	37.2	68.3
61.7	37.2	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	38.7	68.3
61.7	39.2	68.3
61.7	39.5	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.6	68.3
61.7	42.1	68.3
61.7	42.8	68.3
61.7	43.8	68.3
61.7	43.8	68.3
61.7	43.8	68.3
61.7	43.8	68.3
61.7	44.4	68.3
61.7	44.6	68.3
61.7	44.6	68.3
61.7	44.8	68.3
61.7	44.8	68.3
61.7	46.2	68.3
61.7	46.3	68.3
61.8	46.5	68.3
61.9	47.3	68.3
61.9	48.6	68.3
62.1	48.6	68.3
63	48.6	68.3
63	48.6	68.3
63.1	48.6	68.3
63.5	48.6	68.3
64.9	48.6	68.3
65	48.6	68.3
65	48.6	68.3
65	49.2	68.3
65.2	49.2	68.3
65.3	49.2	68.3
65.3	49.2	68.3
65.3	49.2	68.3
65.3	49.2	68.3
65.3	49.2	68.3
