delta.dn.txt	delta.up.txt
15.3	19.1
16.2	19.1
16.2	19.1
18.5	19.1
20.9	19.1
26.8	19.1
26.9	19.1
26.9	19.5
29.3	19.5
44	19.6
44	19.6
44	24.6
44	24.6
44	24.6
44	24.6
44	24.6
44	24.6
44	24.6
44	24.6
44	24.6
44	24.6
44	24.6
44	24.6
44	24.6
44	24.6
46.1	24.6
46.1	24.6
46.1	24.6
46.1	24.6
46.1	24.6
56.1	24.6
56.1	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
57.5	24.6
60	24.6
61.2	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	24.6
62.6	28.5
62.6	31.3
62.6	31.6
62.6	31.6
62.6	32.8
62.6	32.8
62.6	32.8
62.6	33.6
62.6	33.6
62.6	33.7
62.6	46.4
62.6	46.4
62.6	46.4
62.6	47.8
62.6	48.5
62.6	49.6
62.6	49.6
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
62.6	52.1
