Avg of 3 Human Tox	ADnTPDvsCtrl.Group1	ADnTPDvsCtrl.Group2
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0.995740728036474	2.80309023146786
10	2.0853678946314	1.54845319702143
11	225.130168943175	411.697031244092
12	0	0
13	0	0
14	3.67224685217288	4.29391461000378
15	6.32218377331012	1.9440103359216
16	22.4349528631742	26.6407413632483
17	3.03842875271021	2.41721418587567
18	0	0
19	0.270904040438354	0.802730293035215
20	0	0
21	0	0
22	6.43423980794573	10.9173788117623
23	9.24415326139772	4.39449118894077
24	127.865822665269	66.7125321335108
25	1955.86790497235	3180.20453196658
26	108.849214229664	44.7286905375413
27	1.86931160492038	3.93667896494791
28	0	0
29	0	0
30	3.66671758705908	7.64783020374924
31	2.9714397530985	5.9163384059961
32	0	0
33	0	0
34	20.6765101577661	24.1612165100831
35	21.6745258227866	7.93898092797942
36	3.25607744788028	13.3297736406372
37	1.8718090130654	0.397033250720303
38	10.4208952162162	23.0922728642938
39	0	0
40	69.0085300831442	28.1612320261285
41	3.5505555581417	1.67126943153482
42	8.13931086195999	22.180448063023
43	22.7725664378753	7.66486029627356
44	6.01692014495614	14.2513165647675
45	0	0
46	0.495149427545281	0.486416622305365
47	95.6997236219797	55.1818936307586
48	23.610480635747	54.616936820423
49	6.19898358349745	9.13455701546004
50	266.484411672854	952.564439610468
51	9.16454583126159	3.77485802030393
52	496.481130780545	205.349348749285
53	25.725069611918	39.0580398765931
54	93.9385968581035	82.4766113321178
55	61.3406920974169	25.9927674857446
56	1.61464514652161	3.77540831579333
57	4108.02702682619	6809.00310066844
58	2574.33773997482	862.905620524377
59	681.963667976565	248.788034026728
60	33.7965481436763	60.7800219871098
61	17.3983534817903	18.9395792032617
62	12.2911095918946	8.16335510859045
63	14232.6448071315	25570.4286125878
64	1.80897670098208	5.46371034742756
65	5.20795818580314	3.3053174478226
66	25.2502345410381	40.0827764268572
67	2104.19778487785	972.597203945919
68	806.320608391385	580.588825912991
69	114.54375999994	54.0203101995442
70	28.4088166841943	68.672677174346
71	134.33512638711	81.3365065927444
72	40.4967150035561	26.1146849702536
73	12.6347672397936	12.5350281393372
74	337.768186427271	107.821290275006
75	42.0363162759572	47.3676932377317
76	42.5212813070694	23.6353301586839
77	1362.48920601711	501.44722510868
78	4935.17804430527	1747.11901227399
79	8.68308471005242	15.663109256928
80	52.8951532353611	89.1107584647334
81	555.821922091784	197.634012750969
82	73.2064730865074	52.0483317478525
83	4089.46703728441	6872.94813309001
84	115.164129491583	254.240528071466
85	217.312421920343	86.5503031595994
86	22.3373912742624	23.6891944668625
87	230.130244485479	196.249458041283
88	253.754226465836	109.741473067734
89	97.8486939447762	286.656549551354
90	187.752168407003	144.567791904485
91	859.627128579366	788.929797954367
92	14.0157422191756	4.92203626878347
93	344.763099319293	704.980660550691
94	56.7875748048298	26.0159428357894
95	39.5097551159141	17.9969815325787
96	9316.09845611586	4136.9537582932
97	9.55104525903427	14.039362123417
98	16.9768868423405	47.9571022023974
99	13.4866029361525	6.11833335622576
100	4.27989842928226	1.59702853322047
101	2.64890529621394	5.85132619993026
102	266.79287291275	459.309031377245
103	0	0
104	0.660383523301704	0.161389115355949
105	2.02428688692525	0.467481510581377
106	0	0
107	0	0
108	0	0
109	0.962735130970072	2.40328129534709
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
