delta.dn.txt	delta.up.txt
16.2	11.1
23.5	11.1
23.5	11.1
23.5	11.1
23.5	11.1
26.2	11.1
26.2	11.1
26.2	11.1
26.2	11.1
34.6	16.4
40.4	25.4
40.4	25.4
43.2	25.4
46.7	25.4
46.7	25.4
46.7	25.4
46.9	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
51.7	25.4
52.8	25.4
53.7	25.4
53.7	25.4
53.9	25.4
55.1	25.4
55.1	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	25.4
57.5	38.2
57.5	42
57.5	46.7
57.5	48.3
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.2
57.5	50.2
57.5	50.2
57.5	50.2
57.5	50.2
57.5	50.2
57.5	50.2
57.5	53.2
57.5	54.4
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
57.5	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
58.9	56.7
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
62.6	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	60.3
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
66.9	63.1
67	63.1
67	63.1
67	63.1
67	63.1
67	63.1
67	63.1
67.1	63.1
67.6	63.1
67.8	63.1
67.8	63.1
67.8	63.1
68	63.1
68	63.1
68	63.1
68	63.1
68	63.1
68	63.1
68	63.1
68	63.1
68	63.1
68	63.1
68	63.1
68	63.1
68	63.1
68	63.1
