delta.dn.txt	delta.up.txt
6.1	8.2
7.3	8.2
7.3	8.2
7.4	8.2
7.4	8.2
9.1	8.2
9.1	11
9.9	11.1
9.9	11.1
9.9	11.1
9.9	11.1
9.9	11.1
9.9	16.9
9.9	17.6
9.9	18.4
9.9	19.1
9.9	20.5
9.9	22.1
9.9	22.1
9.9	22.1
9.9	24.6
10	24.6
12.6	24.6
16.9	24.6
16.9	24.6
16.9	24.6
19.7	24.6
19.7	24.6
19.7	24.6
19.7	24.6
19.7	24.6
19.7	24.6
20.1	24.6
20.1	24.6
23.5	24.6
23.5	24.6
23.5	24.6
24.7	24.6
24.7	24.6
26.2	24.6
26.2	24.6
26.2	24.6
26.2	24.6
27.8	24.6
27.8	24.6
29.9	24.6
34.6	24.6
35.6	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	24.6
37.7	25.4
37.7	25.4
37.7	25.4
37.7	25.4
37.7	25.4
37.7	25.4
39	25.4
39.7	25.4
39.7	25.4
39.7	25.4
39.7	25.4
39.7	25.4
39.7	25.4
39.7	25.4
39.7	25.4
39.7	25.4
39.7	25.4
39.7	25.4
39.7	25.4
39.7	25.4
39.7	25.4
39.7	25.4
39.7	25.4
40.4	25.4
40.4	25.4
41.3	25.4
42.2	25.4
42.2	25.4
42.2	25.4
42.2	25.4
42.2	25.4
42.2	25.4
42.2	25.4
42.2	28.9
42.6	29.3
42.6	30.6
42.6	30.6
42.6	30.6
42.6	30.6
42.6	30.6
42.6	30.7
42.8	31.3
43.2	31.3
44	31.3
44	31.3
46.7	31.3
46.7	31.3
47.6	31.3
48.6	31.3
49.2	31.6
49.2	32.8
50.9	33.6
51.1	39.3
51.4	39.3
51.4	40.3
51.7	41.8
51.7	41.8
51.7	42.3
51.7	42.3
51.7	42.3
51.7	46
51.7	46
51.7	46
51.7	46.1
51.7	46.4
51.7	48.3
51.7	48.5
51.9	49.6
51.9	49.6
52.4	49.6
53.6	49.6
53.7	49.6
53.9	49.6
54.1	49.6
54.2	49.6
54.5	50.1
55.1	50.1
55.1	50.1
56	50.1
56.1	50.1
56.2	50.1
57.3	50.1
57.4	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.1
57.5	50.2
57.5	50.2
57.5	50.2
57.5	50.2
57.5	50.2
57.5	50.2
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
57.5	52.1
58	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
58.9	52.1
60.5	52.5
60.5	53.2
61	53.5
61.2	53.5
61.7	53.5
61.7	53.5
61.7	54.2
61.9	54.4
62.5	54.5
62.6	54.5
62.6	56.3
62.6	56.7
62.6	56.7
62.6	56.7
62.6	56.7
62.6	56.7
62.6	56.7
62.6	56.7
62.6	56.7
62.6	56.7
62.6	56.7
62.6	56.7
62.6	56.7
62.6	56.7
62.6	56.7
63	56.7
63.1	56.7
63.2	56.7
63.2	56.7
64.3	56.7
65.3	56.7
65.3	56.7
65.3	56.7
65.3	56.7
65.8	56.7
66.2	56.7
66.2	56.7
66.2	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.7
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
66.9	56.9
67	56.9
67	56.9
67	58
