Avg of 3 Human Tox	Ctr10.GSM1551187.A687	Ctr11.GSM1551188.A689	Ctr12.GSM1551185.A685	Ctr13.GSM1551184.A684	Ctr14.GSM1551173.A671	Ctr15.GSM1551183.A683	Ctr16.GSM1551174.A672	AD1.GSM1551178.A677	AD2.GSM1551181.A681	AD3.GSM1551177.A676	AD4.GSM1551179.A678	AD5.GSM1551176.A675	AD6.GSM1551175.A673	ADvCtrl.Group1	ADvCtrl.Group2
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0.987657897691152	1.07223651776857	0	0	9.991724886209	0	7.80699715131348	0.494341886354261	4.87692351959767	2.08405895490175	0.29427063077996	4.20900773306269
9	0.379225280674111	0	0.837938737740258	2.30453509461268	6.03838460006509	1.58704589657381	4.06450573832001	30.6303697331325	1.85386294984448	7.59013611933255	12.1113762156794	11.7046164470344	19.2775453328411	2.173090763998	13.8613177996441
10	0	0.298377156483601	0.558625825160172	0.987657897691152	1.52370452525007	0	2.54031608645	31.7769611135172	0	2.60233238377116	11.8642052725023	55.5969281234135	14.848920053675	0.844097355862141	19.4482244911465
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	1.51690112269644	2.98377156483601	0.279312912580086	7.90126318152922	10.7787986786209	7.40621418401109	3.04837930374001	25.3888091370884	8.15699697931571	49.8780373556139	6.92078640895965	17.5569246705516	76.5891665926392	4.84494870685911	30.7484535240281
16	0	0	0	0	0.112867001870376	0	0	11.9573101097255	0	0.65058309594279	0	15.1184629107528	0	0.0161238574100537	4.62105935273684
17	0.758450561348222	0.596754312967203	4.46900660128138	1.64609649615192	1.18510351963894	0.793522948286903	0.508063217290001	186.894395002696	0.370772589968896	2.1686103198093	1.73019660223991	34.6261569891435	2.60507369362718	1.42242823670923	38.0658675329142
18	2.27535168404466	1.7902629389016	5.02763242644156	7.90126318152922	4.79684757949097	8.46424478172697	4.57256895561	269.121376853138	2.59540812978228	31.0111275732729	14.5830856474509	152.647706163407	22.143126395831	4.97545307824928	82.0169717938135
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0.279312912580086	0	3.2167095533057	0.264507649428968	1.01612643458	102.538029160112	1.11231776990669	27.7582120935591	7.4151282953139	236.530790700487	9.11775792769517	0.682379507127825	64.0787059911792
21	0.379225280674111	0.298377156483601	0.558625825160172	0.987657897691152	4.00677856639833	1.05803059771587	2.54031608645	31.1217660390116	1.48309035987558	22.9872693899786	0.988683772708521	25.3600023019079	5.99166949534252	1.40414448722475	14.6554135598041
22	0	2.38701725186881	16.7587747548052	4.27985088999499	2.3702070392779	6.34818358629523	3.04837930374	21.9490349959345	5.93236143950234	16.4814384305507	29.6605131812555	79.4938533694421	32.0424064316144	5.02748754656888	30.9266013080498
23	2.65457696471878	1.79026293890161	2.23450330064069	1.31687719692154	2.8216750467594	1.85155354600277	2.03225286916	15.8884805567586	10.3816325191291	7.37327508735162	8.65098301119956	21.4584634862298	9.8992800357833	2.10024312330068	12.2753524494086
24	0	0.298377156483601	0.837938737740258	0.329219299230384	0.395034506546314	0.264507649428968	0	3.76737167840667	0.741545179937792	5.20466476754232	4.69624792036547	2.43846175979884	2.8655810629899	0.303582478489932	3.28564539484016
25	51.195412891005	43.5630648466058	257.805818311419	351.60621157805	353.781617362693	99.4548761852919	88.9110630257501	8953.89588819226	78.6037890734059	822.770755335651	560.089357239378	16360.6153311941	398.055260386235	178.045437742974	4529.0050635702
26	0	0.298377156483601	0.279312912580086	0	0.50790150841669	0.264507649428968	0.508063217290001	12.4487064156047	0.370772589968896	0.21686103198093	4.9434188635426	15.6061552627126	2.08405895490174	0.265451777742764	5.94499551978523
27	0	0	0	0	0.338601005611127	0	0.508063217290001	3.93117044703305	0	3.25291547971395	3.21322226130269	0.487692351959767	1.04202947745087	0.120952031843018	1.98783833624339
28	0	0	0.837938737740258	0.329219299230384	0.112867001870376	0.264507649428968	1.01612643458	24.2422177567038	0.370772589968896	4.55408167159953	1.23585471588565	67.3015445704479	0.781522108088155	0.365808446121427	16.414332235449
29	3.79225280674111	4.77403450373761	25.976100869948	15.4733070638281	7.50565562437997	4.76113768972142	6.60482182477001	190.661766681103	3.70772589968897	32.5291547971395	62.2870776806368	432.583116188314	53.66451808872	9.84104434044659	129.2388932226
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	2.27535168404466	4.17728019077041	1.67587747548052	5.92594738614691	7.90069013092629	4.49663004029245	2.03225286916	84.356365842584	2.22463553981338	60.9379499866412	5.19058980671973	116.070779766425	9.37826529705785	4.06914711097446	46.3597643732069
32	7.96373089415632	1.19350862593441	13.4070198038442	16.7901842607496	13.0925722169636	15.0769360174512	17.78221260515	29.9751746586269	15.2016761887248	62.2391161785269	84.5324625665785	85.3461615929592	120.354404645575	12.1865949177499	66.2748326384986
33	0	0.298377156483601	0.558625825160172	0.329219299230384	2.93454204862977	0	0.508063217290001	140.866941018684	0.370772589968896	8.6744412792372	3.95473509083408	133.140012085016	4.42862527916621	0.661261078113418	48.5725878904845
34	1.13767584202233	0	0.837938737740258	0.329219299230384	2.82167504675938	0.529015298857936	1.52418965187	57.8209653251111	0.741545179937792	20.3849370062075	3.46039320447982	36.0892340450227	4.68913264852893	1.02567341092576	20.5310345682147
35	0.758450561348222	0.298377156483601	2.79312912580086	3.29219299230384	3.55531055891683	4.76113768972142	0.508063217290001	57.1657702506056	1.11231776990669	11.0599126310274	4.20190603401122	7.31538527939651	3.64710317107806	2.28095161455211	14.0837325226709
36	0	0	0	0.329219299230384	0.112867001870376	0.529015298857935	0	33.5787475684073	0	0.43372206396186	0.49434188635426	8.29076998331604	0.260507369362718	0.138728799994099	7.17634814523369
37	1.51690112269644	0.596754312967203	5.02763242644155	1.9753157953823	0.677202011222253	0.529015298857935	3.55644252103	38.0013143213195	1.48309035987559	6.28896992744697	9.88683772708521	38.5276958048216	9.89928003578329	1.98275192694253	17.3478646960554
38	0	0	0.558625825160172	0.987657897691152	1.07223651776857	0	1.52418965187	15.0694867136267	0	6.07210889546604	3.70756414765695	14.1430782068333	1.82355158553903	0.591815698927127	6.80263159152031
39	3.413027526067	0.895131469450804	10.8932035906234	10.8642368746027	5.47404959071322	3.70310709200554	1.52418965187	94.6756882660458	1.85386294984448	16.9151604945125	21.0095301700561	116.558472118384	16.672471639214	5.25242082790465	44.614197606343
40	1.13767584202233	0.596754312967203	34.6348011599307	2.63375439384307	3.32957655517608	11.1093212760166	8.12901147664001	59.1313554741221	1.11231776990669	28.6256562214828	7.16795735213678	236.530790700487	130.514192050722	8.795842145228	77.1803782614762
41	2.65457696471878	0	0.279312912580086	1.64609649615192	1.01580301683338	0.529015298857935	0	47.3378441330229	0.370772589968896	1.73488825584744	3.70756414765695	46.3307734361779	4.16811790980349	0.874972098448871	17.2749934120796
42	0.379225280674111	0.596754312967202	1.11725165032034	0.329219299230384	1.46727102431489	0.793522948286903	3.55644252103	23.0956263763192	0.370772589968896	9.75874643914185	24.9642652608901	32.6753875813045	24.4876927200955	1.17709814811769	19.2254151612867
43	0.379225280674111	0.895131469450804	1.95519038806061	5.26750878768614	0.395034506546315	0.264507649428968	2.54031608645	44.2256675291218	4.44927107962675	2.60233238377116	0.988683772708521	16.5815399666321	3.64710317107806	1.67098773832813	12.0824329838231
44	0.379225280674111	0	1.11725165032034	0.329219299230384	0.677202011222254	0.529015298857936	1.01612643458	16.3798768626377	0.741545179937792	5.20466476754232	5.93210263625113	18.0446170225114	3.12608843235262	0.578291424983575	8.23814915020549
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	7.58450561348221	3.58052587780321	22.0657200938269	14.1564298669066	15.1241782506304	10.3157983277297	12.70158043225	325.795750797863	7.41545179937791	51.1792035474995	43.9964278855292	204.830787823102	69.0344528811203	12.218391208947	117.04201245575
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	3.03380224539289	0.895131469450804	9.21732611514284	5.92594738614691	4.40181307294465	2.90958414371865	9.14513791122002	104.831211920881	5.56158884953344	38.1675416286438	6.42644452260538	91.6861621684363	16.6724716392139	5.07553462057383	43.8909034548857
49	0	0	0	0	0.507901508416691	0.264507649428968	1.01612643458	11.1383162665936	0	4.12035960763767	8.1566411248453	28.2861564136665	13.0253684681359	0.255505084632237	10.7878069801465
50	20.857390437076	13.7253491982456	288.530238695228	78.6834125160619	65.6885950885587	109.241659214164	29.97572982011	1389.66875302619	79.7161068433127	734.942037383372	568.740340250576	635.463134603577	422.542953106328	86.6717678527776	638.512220868892
51	0.758450561348222	1.49188578241801	0.558625825160172	3.62141229153422	8.7471926449541	2.64507649428968	4.06450573832001	219.981746265225	2.96618071975117	5.42152579952325	3.46039320447982	22.4338481901493	5.21014738725436	3.12673561971777	43.2456402610637
52	131.591172393916	53.7078881670483	397.741587514042	518.191176988624	102.596104700171	147.595268381364	188.99951683188	12719.3019813753	288.461074995801	2198.1034201587	813.933915882291	39190.9574034868	792.202910232026	220.060387853863	9333.82678435517
53	0.379225280674111	0	0	0.329219299230384	0	0	0	20.8024436155499	0	1.30116619188558	0.988683772708521	4.87692351959767	1.04202947745087	0.101206368557785	4.83520776286541
54	37.922528067411	77.8764378422199	80.4421188230649	29.9589562299651	43.3973622191594	33.0634561786209	100.59651702342	645.69474592518	112.714867350544	357.386980704573	245.193575631712	2886.65103124986	292.289268424971	57.608196626266	756.655078214474
55	0.379225280674111	0	1.11725165032034	0.329219299230384	0.902936014963005	0	2.03225286916	13.1039014901102	2.22463553981338	5.63838683150418	10.6283505566166	15.1184629107528	15.8909495311259	0.680126444906836	10.4341144766538
56	8.34295617483043	0.895131469450804	2.23450330064069	9.21814037845076	2.48307404114827	21.1606119543174	3.04837930374	140.047947175551	7.04467920940902	61.8053941145651	4.69624792036547	401.858498014849	10.9413095132341	6.76897094608261	104.399012657996
57	3.03380224539289	0.596754312967202	0.279312912580086	5.26750878768614	5.86908409725953	2.11606119543174	4.06450573832	140.866941018684	4.82004366959565	36.6495144047772	3.95473509083408	53.1584663636146	11.2018168825969	3.03243275566252	41.775252905017
58	9.48063201685277	7.75780606857363	43.5728143624934	69.1360528383806	34.537302572335	27.2442878911837	41.6611838177801	927.101030425294	21.134037628227	111.032848374236	44.7379407150607	814.933920124771	67.9924234036695	33.3414399382285	331.155366778544
59	5.68837921011166	5.07241166022122	13.4070198038441	9.54735967768113	13.2618727197691	4.49663004029245	13.71770686683	112.529754046321	12.2354954689736	81.9734700887915	60.556881078397	94.1246239282351	60.4377096921506	9.31305428267854	70.3096557171448
60	8.72218145550455	6.56429744263923	1.11725165032034	20.0823772530534	1.46727102431488	10.0512906783008	1.52418965187	102.374230391485	3.70772589968896	51.6129256114613	2.96605131812556	146.79539793989	4.16811790980349	7.07555130800045	51.9374081784092
61	1.51690112269644	0.298377156483601	5.86557116418182	6.25516668537729	9.02936014963004	1.5870458965738	6.60482182477001	92.2187067366502	2.22463553981337	30.3605444773302	33.3680773289126	160.938476146723	28.6558106298991	4.45103485710185	57.9610418098881
62	28.4418960505583	16.1123664501145	258.085131224	56.6257194676261	63.4876885520865	30.1538720349023	99.5803905888401	1150.19495329441	31.8864427373252	212.957533405273	585.053622500267	773.480070208192	634.595951767581	78.9267234811609	564.694762318844
63	13.652110104268	9.54806900747523	77.648989697264	38.1894387107247	58.9165749763361	18.7800431094566	14.22577008412	2885.15151058501	14.0893584188181	459.745387799572	217.757600939051	5202.70201070681	184.439217508804	32.9944279556635	1493.98084765968
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	0	0.298377156483601	1.11725165032034	0.987657897691152	0.564335009351878	1.05803059771587	0.508063217290001	15.5608830195058	0.370772589968896	5.20466476754232	2.96605131812556	10.2415393911551	2.34456632426446	0.647673646978978	6.11474623509369
66	29.9587971732548	11.0399547898932	98.3181452281902	67.4899563422288	43.6230962229002	39.4116397649161	49.28213207713	1270.42324946618	18.9094020884137	158.091692314099	179.940446632951	934.418546354913	234.196125057083	48.4462459426446	465.996576985606
67	0.379225280674111	0	1.67587747548051	1.31687719692154	0.225734003740752	1.05803059771587	0	29.6475771213742	0.370772589968896	1.73488825584744	2.71888037494843	20.9707711342699	4.42862527916621	0.665106364933255	9.97858579259586
68	468.343221632527	88.0212611626624	300.261381023592	356.873720365736	350.959942315932	215.573734284609	347.515240626361	1992.120624034	253.979224128694	941.82746189318	962.236481788568	1844.45247511184	586.402088435479	303.935500201632	1096.83639256529
69	49.2992864876343	8.65293753802443	267.861083164303	61.8932282553123	39.8984851611778	69.5655117998185	73.6691665070501	797.863801979083	81.1991972031882	158.308553346079	428.100073582789	1485.02321171749	382.685325593834	81.5485284161885	555.530027237078
70	6.82605505213399	4.17728019077042	2.2345033006407	5.26750878768614	2.87810854769458	9.25776773001387	3.04837930374	83.0459756935731	4.07849848965786	22.9872693899785	19.032162624639	134.115396788937	21.6221116571056	4.8128004160971	47.4802357739818
71	19.3404893143796	8.35456038154084	6.14488407676188	93.4982809814291	143.397525876312	177.749140416267	29.9757298201101	722.843965948202	61.5482499348368	570.344514109847	919.723079562102	448.189271451026	406.652003575203	68.3515158381143	521.550180763537
72	1.51690112269644	0.596754312967203	1.67587747548052	0.987657897691152	9.98872966552823	3.43859944257659	4.06450573832	153.151848665663	0.370772589968896	17.7826046224362	17.5491369655763	143.381551476171	20.319574810292	3.18128937932287	58.7592481883512
