Avg of 3 Human Tox	AD.1.SRR1658350	AD.2.SRR1658353	AD.3.SRR1658349	AD.4.SRR1658351	AD.5.SRR1658348	AD.6.SRR1658347	Control.10.SRR1658359	Control.11.SRR1658360	Control.12.SRR1658357	Control.13.SRR1658356	Control.14.SRR1658345	Control.15.SRR1658355	Control.16.SRR1658346	TPD.7.SRR1658354	TPD.8.SRR1658352	TPD.9.SRR1658358
4	55.439	55.031	30.005	60.196	53.58	57.245	24.931	42.344	80.015	31.128	44.961	54.819	38.981	57.825	43.6	40.426
5	14.855	0	0	0	0	0	0	0	0	0	0	6.016	7.355	6.568	0	14.747
6	30.28	22.806	22.522	19.895	38.167	20.286	35.103	32.557	20.893	33.597	100.611	42.873	97.822	36.009	25.861	55.248
7	164.232	668.805	128.029	219.354	237.808	198.416	762.706	727.435	811.824	1111.718	650.39	1233.81	809.6	1111.107	165.995	1277.007
8	806.179	371.709	1161.258	199.459	406.071	277.802	175.389	428.431	116.876	143.3	351.396	445.246	146.549	312.465	329.629	111.816
9	30.406	36.564	21.691	20.407	98.536	57.617	88.191	234.489	85.762	62.15	40.382	90.405	42.659	114.829	12.753	69.408
10	1189.764	1289.519	842.849	962.798	1671.625	1199.947	1396.288	1019.247	1187.901	1294.947	1405.326	1523.076	1701.392	1543.095	1139.062	1792.359
11	952.71	544.117	793.718	865.463	1093.253	712.148	540.307	406.759	520.322	492.154	1001.357	661.302	704.791	777.061	1041.004	916.464
12	74.593	32.598	22.069	83.762	141.657	109.399	91.291	24.867	45.254	57.213	95.838	138.021	382.46	102.982	37.202	127.59
13	38.877	153.445	47.16	69.075	65.323	370.062	564.123	27.963	162.219	99.076	128.844	246.305	202.447	156.936	114.539	335.889
14	71.686	64.576	58.649	19.895	102.206	104.951	188.042	122.538	105.56	143.513	26.685	101.844	44.13	109.785	40.643	148.943
15	73.646	133.489	112.839	117.66	81.655	88.649	164.845	128.829	125.815	118.182	89.107	193.857	61.414	257.808	121.402	177.776
16	959.032	651.33	714.289	1171.307	1044.077	675.19	816.167	909.292	535.922	502.244	944.953	725.019	572.954	628.802	941.598	559.667
